se souvenir,de qqch,de qqn,de faire qqch,null
suggérer,qqch,à qqn,de faire qqch,null
téléphoner,null,à qqn,null,null
tenir,qqch | à qqch,qqn | à qqn,à faire qqch,null
tenter,qqch,null,de faire qqch,null
trouver,qqch,qqn,null,null
utiliser,qqch,qqn,pour faire qqch,null
venir,null,chez qqn,faire qqch,null
visiter,qqch,qqn,null,null
vouloir,qqch,qqn,faire qqch,null
